Bisaya,Tagalog,English,Part of Speech,Pronunciation,Category,Beginner Example (Bisaya),Beginner English Translation,Beginner Tagalog Translation,Intermediate Example (Bisaya),Intermediate English Translation,Intermediate Tagalog Translation,Advanced Example (Bisaya),Advanced English Translation,Advanced Tagalog Translation
Kwarto,Kuwarto,Room,Noun,KWAR-to,Places,Hinlo ang kwarto.,The room is clean.,Malinis ang kwarto.,Ang kwarto bugnaw tungod sa aircon.,The room is cold because of the aircon.,Malamig ang kwarto dahil sa aircon.,Ang kwarto nga akong gitindogan kahapon gigamit para meeting.,The room I stood in yesterday was used for a meeting.,Ang kwartong pinuntahan ko kahapon ay ginamit para sa meeting.
Kusina,Kusina,Kitchen,Noun,koo-SEE-na,Places,Ganahan ko sa kusina.,I like the kitchen.,Gusto ko ang kusina.,Humot ang kusina tungod sa luto.,The kitchen smells good because of the food.,Mabango ang kusina dahil sa luto.,Ang kusina nga among giayo bag-o na kaayo karon.,The kitchen we renovated is now very new.,Ang kusinang inayos namin ay bago na ngayon.
Katre,Kama,Bed,Noun,KA-tre,Objects,Lami ang katre.,The bed is comfy.,Malamig/komportable ang kama.,Nakatulog ko sa katre.,I slept on the bed.,Natulog ako sa kama.,Ang katre nga akong gigamit gahapon humok kaayo.,The bed I used yesterday was very soft.,Napakalambot ng kamang ginamit ko kahapon.
Lamesa,Lamesa,Table,Noun,la-ME-sa,Objects,Dako ang lamesa.,The table is big.,Malaki ang lamesa.,Nagsulat siya sa lamesa.,He wrote on the table.,Sa lamesa siya nagsulat.,Gilimpyo nako ang lamesa para sa bisita.,I cleaned the table for the guest.,Linisin ko ang lamesa para sa bisita.
Pultahan,Pintuan,Door,Noun,pool-TA-han,Objects,Abli ang pultahan.,The door is open.,Bukas ang pintuan.,Sirado ang pultahan karon.,The door is closed now.,Sarado ang pintuan ngayon.,Ang pultahan nga among giayo dili na mo-ikog.,The door we repaired no longer squeaks.,Hindi na umuikik ang pintuang inayos namin.
Bintana,Bintana,Window,Noun,bin-TA-na,Objects,Nindot ang bintana.,The window is nice.,Maganda ang bintana.,Abli ang bintana kay aron makasulod ang hangin.,The window is open to let air in.,Bukas ang bintana para pumasok ang hangin.,Ang bintana nga among giusab mas dako na kaysa sauna.,The window we changed is bigger than before.,Mas malaki na ang bintanang pinalitan namin.
Libro,Aklat,Book,Noun,LEE-bro,Objects,Naa koy libro.,I have a book.,May aklat ako.,Gibasa nako ang libro.,I read the book.,Binasa ko ang aklat.,Ang libro nga akong gitun-an gahapon lisod gamay.,The book I studied yesterday was a bit hard.,Medyo mahirap ang librong pinag-aralan ko kahapon.
Lapis,Lapis,Pencil,Noun,LAH-pis,Objects,Naa koy lapis.,I have a pencil.,May lapis ako.,Lapis akong gigamit sa drawing.,I used a pencil to draw.,Gumamit ako ng lapis sa pagguhit.,Ang lapis nga akong gigamit kagahapon hapit mahurot.,The pencil I used yesterday is almost used up.,Ang lapis na ginamit ko kahapon ay maikli na.
Bolpen,Bolpen,Pen,Noun,BOL-pen,Objects,Akoa ning bolpen.,This is my pen.,Akin ang bolpen.,Gamit siya og bolpen sa test.,He uses a pen in the test.,Gumagamit siya ng bolpen sa test.,Ang bolpen nga akong gipalit kahapon humok kaayo mosuwat.,The pen I bought yesterday writes very smoothly.,Ang bolpen na binili ko kahapon ay napakalambot isulat.
Papel,Papel,Paper,Noun,pah-PEL,Objects,Naa kay papel?,Do you have paper?,May papel ka ba?,Gigamit nako ang papel sa proyekto.,I used the paper for the project.,Ginamit ko ang papel para sa proyekto.,Ang papel nga akong gihimo kagahapon mao'y gi-printan sa output.,The paper I prepared yesterday was used for printing the output.,Ang papel na ginawa ko kahapon ang pinaggamitan sa print.
Eskwelahan,Paaralan,School,Noun,es-kwe-la-HAN,Places,Dako ang eskwelahan.,The school is big.,Malaki ang paaralan.,Dagan kaayog estudyante sa eskwelahan.,There are many students in the school.,Maraming estudyante sa paaralan.,Ang eskwelahan nga akong giadto kagahapon nag meeting.,The school I went to yesterday had a meeting.,Ang paaralang pinuntahan ko kahapon ay may meeting.
Estudyante,Estudyante,Student,Noun,es-too-DYAN-te,People,Estudyante siya.,He/She is a student.,Estudyante siya.,Ang estudyante nagtuon karon.,The student is studying now.,Nag-aaral ang estudyante ngayon.,Ang estudyante nga akong gitudloan kahapon dali makat-on.,The student I taught yesterday learns fast.,Ang estudyanteng tinuruan ko kahapon ay mabilis matuto.
Moadto,Pupunta,Will go,Verb,mo-AD-to,Verbs,Moadto ko didto.,I will go there.,Pupunta ako doon.,Moadto siya sa trabaho.,He will go to work.,Pupunta siya sa trabaho.,Moadto ko sa siyudad ugma para magpalit.,I will go to the city tomorrow to buy something.,Pupunta ako sa siyudad bukas para bumili.
Moanhi,Paparito,Will come here,Verb,mo-AN-hee,Verbs,Moanhi siya diri.,He/She will come here.,Paparito siya dito.,Moanhi ko sa balay unya.,I will come home later.,Paparito ako sa bahay mamaya.,Moanhi ko sa inyong lugar ugma buntag.,I will come to your place tomorrow morning.,Paparito ako sa inyo bukas ng umaga.
Mokaon,Kakain,Will eat,Verb,mo-KA-on,Verbs,Mokaon ko.,I will eat.,Kakain ako.,Mokaon ta sa balay.,We will eat at home.,Kakain tayo sa bahay.,Mokaon ko sa restaurant ugma kay walay oras karon.,I will eat at a restaurant tomorrow because I have no time now.,Kakain ako sa restaurant bukas dahil wala akong oras ngayon.
Matulog,Matutulog,Will sleep,Verb,ma-TOO-log,Verbs,Matulog ko karon.,I will sleep now.,Matutulog na ako.,Matulog siya sayo.,He/She sleeps early.,Maaga siya natutulog.,Matulog ko sayo kagabii kay kapoy kaayo ko.,I slept early last night because I was very tired.,Maaga akong natulog kagabi dahil pagod na pagod ako.
Mobangon,Babangon,Will get up,Verb,mo-BANG-on,Actions,Mobangon ko.,I will get up.,Babangon ako.,Mobangon siya sayo kada buntag.,He gets up early every morning.,Maaga siyang bumabangon araw-araw.,Mobangon ko sayo ugma para makatrabaho.,I will get up early tomorrow to work.,Babangon ako nang maaga bukas para magtrabaho.
Mobasa,Magbasa,To read,Verb,mo-BA-sa,Actions,Mobasa ko og libro.,I will read a book.,Magbabasa ako ng libro.,Mobasa siya matag gabii.,He reads every night.,Palagi siyang nagbabasa tuwing gabi.,Mobasa ko ug daghang libro aron makat-on ko.,I will read many books to learn.,Magbabasa ako ng maraming libro para matuto.
Mosulat,Magsulat,To write,Verb,mo-su-LAT,Actions,Mosulat ko karon.,I will write now.,Magsusulat ako ngayon.,Mosulat siya og report.,He will write a report.,Magsusulat siya ng report.,Mosulat ko og artikulo para sa proyekto ugma.,I will write an article for the project tomorrow.,Magsusulat ako ng artikulo para sa proyekto bukas.
Mogawas,Lalabas,Will go out,Verb,mo-ga-WAS,Actions,Mogawas ko.,I will go out.,Lalabas ako.,Mogawas siya sa balay.,He will go out of the house.,Lalabas siya ng bahay.,Mogawas ko ug sayo aron dili ma-late.,I will go out early so I won't be late.,Lalabas ako nang maaga para hindi malate.
Mosulod,Papasok,Will enter,Verb,mo-su-LOD,Actions,Mosulod ko.,I will enter.,Papasok ako.,Mosulod siya sa kwarto.,He will enter the room.,Papasok siya sa kwarto.,Mosulod ko sa meeting room unya.,I will enter the meeting room later.,Papasok ako sa meeting room mamaya.
Mopalit,Bibili,Will buy,Verb,mo-pa-LIT,Actions,Mopalit ko ug tubig.,I will buy water.,Bibili ako ng tubig.,Mopalit siya ug prutas.,He will buy fruits.,Bibili siya ng prutas.,Mopalit ko ug sud-an para sa panihapon.,I will buy food for dinner.,Bibili ako ng ulam para sa hapunan.
Mobaligya, Magbebenta,Will sell,Verb,mo-ba-LIG-ya,Actions,Mobaligya siya ug isda.,He will sell fish.,Magbebenta siya ng isda.,Mobaligya siya sa merkado.,He sells in the market.,Nagbebenta siya sa palengke.,Mobaligya sila ug daghang produkto ugma.,They will sell many products tomorrow.,Magbebenta sila ng maraming produkto bukas.
Mogamit,Gagamit,Will use,Verb,mo-GA-mit,Actions,Mogamit ko ani.,I will use this.,Gagamitin ko ito.,Mogamit siya og lapis.,He will use a pencil.,Gagamit siya ng lapis.,Mogamit ko og laptop para sa report ugma.,I will use a laptop for the report tomorrow.,Gagamit ako ng laptop para sa report bukas.
Mogukod,Hahabol,Will chase,Verb,mo-GU-kod,Actions,Mogukod ang iro.,The dog will chase.,Hahabol ang aso.,Mogukod siya sa bola.,He will chase the ball.,Hahabulin niya ang bola.,Mogukod ko sa bus kung dili ko magdali.,I will chase the bus if I don't hurry.,Hahabulin ko ang bus kapag hindi ako nagmadali.
Molakaw,Lalakad,Will walk,Verb,mo-la-KAW,Actions,Molakaw ko.,I will walk.,Lalakad ako.,Molakaw siya padulong sa eskwelahan.,He walks to school.,Lumalakad siya papuntang paaralan.,Molakaw ko ug sayo aron maka-ehersisyo.,I will walk early to exercise.,Lalakad ako nang maaga para mag-ehersisyo.
Modagan,Tatakbo,Will run,Verb,mo-DA-gan,Actions,Modagan ko.,I will run.,Tatakbo ako.,Modagan siya matag buntag.,He runs every morning.,Tumatakbo siya tuwing umaga.,Modagan ko ug dugay aron makatrain.,I will run longer to train.,Tatakbo ako nang mas matagal para mag-training.
Mokanta,Kakanta,Will sing,Verb,mo-KAN-ta,Actions,Mokanta ko.,I will sing.,Kakanta ako.,Mokanta siya sa programa.,He will sing in the program.,Kakanta siya sa programa.,Mokanta ko ug usa ka kanta sa event ugma.,I will sing a song at the event tomorrow.,Kakanta ako ng isang kanta sa event bukas.
Mosayaw,Sasayaw,Will dance,Verb,mo-sa-YAW,Actions,Mosayaw ko.,I will dance.,Sasayaw ako.,Mosayaw siya sa presentation.,He will dance in the presentation.,Sasayaw siya sa presentasyon.,Mosayaw ko ug grupo para sa competition.,I will dance with a group for the competition.,Sasayaw ako kasama ang grupo para sa competition.
Mokatawa,Tatawa,Will laugh,Verb,mo-ka-TA-wa,Actions,Mokatawa ko.,I will laugh.,Tatawa ako.,Mokatawa siya sa joke.,He laughs at the joke.,Tumatawa siya sa biro.,Mokatawa ko bisan kapoy kaayo ko.,I will laugh even if I'm very tired.,Tatawa pa rin ako kahit pagod na pagod ako.
Mohilak,Iiyak,Will cry,Verb,mo-hi-LAK,Actions,Mohilak siya.,He/She will cry.,Iiyak siya.,Mohilak siya tungod sa kasubo.,He will cry because of sadness.,Iiyak siya dahil malungkot siya.,Mohilak siya kagabii tungod sa kapoy ug problema.,He cried last night due to stress and problems.,Umiiyak siya kagabi dahil sa pagod at problema.
Mogugma,Mai-in love,Fall in love,Verb,mo-GUG-ma,Emotions,Mogugma siya.,He/She will fall in love.,Mai-in love siya.,Mogugma siya nimo kung buotan ka.,He will love you if you're kind.,Mai-in love siya sa'yo kung mabait ka.,Mogugma ko niya tungod sa iyang pagkamatinabangon.,I fell in love with her because she is helpful.,Nai-in love ako sa kanya dahil matulungin siya.
Mahigugmaon,Mapagmahal,Loving,Adjective,ma-hi-GUG-ma-on,Emotions,Mahigugmaon siya.,He/She is loving.,Mapagmahal siya.,Mahigugmaon kaayo iyang pamilya.,Her family is very loving.,Mapagmahal ang kanyang pamilya.,Mahigugmaon siya bisan lisod ang kahimtang.,She stayed loving even in difficult times.,Mapagmahal pa rin siya kahit mahirap ang sitwasyon.
Mabination,Malambing,Affectionate,Adjective,ma-bi-na-SYON,Emotions,Mabination siya.,He/She is affectionate.,Malambing siya.,Mabination siya sa iyang pamilya.,He is affectionate to his family.,Malambing siya sa pamilya niya.,Mabination kaayo siya kung duol ka niya.,He becomes very affectionate when you're close.,  Nagiging malambing siya kapag malapit ka.
Mabungahon,Masipag,Industrious,Adjective,ma-bung-A-hon,Characteristics,Mabungahon siya.,He/She is hardworking.,Masisipag siya.,Mabungahon kaayo ang estudyante.,The student is very diligent.,Masisipag ang estudyante.,Mabungahon siya bisan kapoy ang trabaho.,He remains hardworking even if the work is tiring.,Masisipag pa rin siya kahit nakakapagod ang trabaho.
Matinabangon,Matulungin,Helpful,Adjective,ma-ti-na-BANG-on,Characteristics,Matinabangon siya.,He/She is helpful.,Matulungin siya.,Matinabangon kaayo ang silingan.,The neighbor is very helpful.,Matulungin ang kapitbahay.,Matinabangon siya sa tanan nga tawo sa komunidad.,He helps everyone in the community.,Matulungin siya sa lahat ng tao sa komunidad.
Asa,Saan,Where,Question Word,a-sa,Questions,Asa ka?,Where are you?,Saan ka?,Asa imong balay?,Where is your house?,Saan ang bahay mo?,Asa dapita imong giadto gahapon?,Which place did you go to yesterday?,Saan ka nagpunta kahapon?
Kinsa,Sino,Who,Question Word,kin-sa,Questions,Kinsa siya?,Who is he/she?,Sino siya?,Kinsa imong gikauban?,Who are you with?,Sino ang kasama mo?,Kinsa imong gikaistorya gahapon?,Who were you talking to yesterday?,Sino ang kausap mo kahapon?
Unsa,Ano,What,Question Word,un-sa,Questions,Unsa ni?,What is this?,Ano ito?,Unsa imong gusto?,What do you want?,Ano ang gusto mo?,Unsa imong gipalit gahapon?,What did you buy yesterday?,Ano ang binili mo kahapon?
Kanus-a,Kailan,When,Question Word,ka-nus-a,Questions,Kanus-a ka moanhi?,When will you come?,Kailan ka darating?,Kanus-a magsugod ang klase?,When will class start?,Kailan magsisimula ang klase?,Kanus-a ka miadto sa syudad kahapon?,When did you go to the city yesterday?,Kailan ka pumunta sa siyudad kahapon?
Ngano,Bakit,Why,Question Word,nga-no,Questions,Ngano man?,Why?,Bakit?,Ngano wala ka niadto?,Why didn't you go?,Bakit hindi ka pumunta?,Ngano nagsaba ka kagabii?,Why were you loud last night?,Bakit ka maingay kagabi?
Giunsa,Paano,How,Question Word,gi-un-sa,Questions,Giunsa nimo?,How did you do it?,Paano mo ginawa?,Giunsa nimo pagkuha?,How did you get it?,Paano mo kinuha?,Giunsa nimo pagtapos ang report gahapon?,How did you finish the report yesterday?,Paano mo tinapos ang report kahapon?
Pila,Magkano/Ilán,How much / How many,Question Word,pi-la,Questions,Pila ni?,How much is this?,Magkano ito?,Pila sila kabuok?,How many are they?,Ilan sila?,Pila kabuok ang niapil kagahapon?,How many joined yesterday?,Ilan ang sumali kahapon?
Tagpila,Magkano,How much,Question Word,tag-pi-la,Questions,Tagpila ni?,How much is this?,Magkano ito?,Tagpila ang saging?,How much are the bananas?,Magkano ang saging?,Tagpila inyong baligya kagahapon?,How much did you sell it for yesterday?,Magkano ninyo naibenta kahapon?
Kumusta ka,Kamusta ka,How are you,Phrase,ku-MUS-ta ka,Conversation,Kumusta ka?,How are you?,Kamusta ka?,Kumusta ka karon?,How are you today?,Kamusta ka ngayon?,Kumusta ka kagahapon pagkahuman sa event?,How were you yesterday after the event?,Kamusta ka kahapon pagkatapos ng event?
Maayo man,Mabuti naman,I’m fine,Phrase,ma-A-yo man,Conversation,Maayo man ko.,I’m fine.,Mabuti naman ako.,Maayo man ko karon.,I’m fine today.,Maigi naman ako ngayon.,Maayo man ko kagahapon bisan kapoy kaayo.,I was fine yesterday even if I was tired.,Mabuti naman ako kahapon kahit pagod ako.
Dili maayo,Hindi mabuti,Not good,Adjective,di-li ma-A-yo,Descriptions,Dili maayo ang panahon.,The weather is not good.,Hindi maganda ang panahon.,Dili maayo akong gibati.,I don't feel good.,Hindi maganda ang pakiramdam ko.,Dili maayo ang akong lawas gahapon kay gikapoy ko.,My body wasn’t good yesterday because I was tired.,Hindi maganda ang pakiramdam ko kahapon dahil pagod ako.
Gutom,Gutom,Hungry,Adjective,gu-TOM,Descriptions,Gutom ko.,I am hungry.,Gutom ako.,Gutom siya pagkahuman sa klase.,He is hungry after class.,Gutom siya pagkatapos ng klase.,Gutom kaayo ko gahapon kay wala koy kaon.,I was very hungry yesterday because I didn’t eat.,Sobrang gutom ako kahapon dahil hindi ako kumain.
Busog,Busog,Full,Adjective,bu-SOG,Descriptions,Busog ko.,I am full.,Busog ako.,Busog siya human mokaon.,He is full after eating.,Busog siya matapos kumain.,Busog kaayo ko kagabii kay daghan kaayo ko'g gikaon.,I was very full last night because I ate a lot.,Busog na busog ako kagabi dahil marami akong kinain.
Kapoy,Pagod,Tired,Adjective,ka-POY,Descriptions,Kapoy ko.,I am tired.,Pagod ako.,Kapoy siya gikan sa trabaho.,He is tired from work.,Pagod siya galing sa trabaho.,Kapoy kaayo ko gahapon human sa tibuok adlaw nga buluhaton.,I was very tired yesterday after the whole day of work.,Sobrang pagod ako kahapon pagkatapos ng buong araw na trabaho.
Tulog,Natutulog,Sleeping,Adjective/Tense,tu-LOG,State,Tulog siya.,He/She is sleeping.,Natutulog siya.,Tulog ang bata sa kwarto.,The child is sleeping in the room.,Natutulog ang bata sa kwarto.,Tulog siya kagabii kay kapoy kaayo siya.,He slept last night because he was very tired.,Natulog siya kagabi dahil sobrang pagod siya.
Basa,Basa,Wet,Adjective,ba-SA,Descriptions,Basa ang sinina.,The clothes are wet.,Basa ang damit.,Basa ang yuta tungod sa ulan.,The ground is wet because of rain.,Basa ang lupa dahil sa ulan.,Basa kaayo ang dalan gahapon tungod sa kusog nga ulan.,The road was very wet yesterday because of heavy rain.,Basa ang kalsada kahapon dahil sa malakas na ulan.
Uga,Tuyo,Dry,Adjective,u-GA,Descriptions,Uga ang sinina.,The clothes are dry.,Tuyo ang damit.,Uga ang yuta karon.,The soil is dry now.,Tuyo ang lupa ngayon.,Uga kaayo ang hangin kagahapon mao init kaayo.,"The air was dry yesterday, so it was very hot.",Tuyo ang hangin kahapon kaya sobrang init.
Limpyo,Malinis,Clean,Adjective,LIM-pyo,Descriptions,Limpyo ang kwarto.,The room is clean.,Malinis ang kwarto.,Limpyo ang balay kada buntag.,The house is clean every morning.,Malinis ang bahay tuwing umaga.,Limpyo kaayo ang lugar kagahapon kay nag-general cleaning.,The place was very clean yesterday due to general cleaning.,Sobrang linis ng lugar kahapon dahil nag-general cleaning.
Hugaw,Madumi,Dirty,Adjective,HU-gaw,Descriptions,Hugaw ang lamisa.,The table is dirty.,Madumi ang mesa.,Hugaw ang sinina niya.,His clothes are dirty.,Madumi ang damit niya.,Hugaw kaayo ang dalan gahapon tungod sa baha.,The road was very dirty yesterday because of the flood.,Madumi ang kalsada kahapon dahil sa baha.
Adto,Pumunta,To go (there),Verb,ad-TO,Actions,Adto ko didto.,I will go there.,Pupunta ako doon.,Adto siya sa siyudad.,He will go to the city.,Pupunta siya sa siyudad.,Adto ko sa inyong lugar ugma buntag.,I will go to your place tomorrow morning.,Pupunta ako sa inyo bukas ng umaga.
Diri,Dito,Here,Location,DI-ri,Locations,Diri ko.,I am here.,Dito ako.,Diri siya naglingkod.,He is sitting here.,Dito siya nakaupo.,Diri ko naghulat nimo kagahapon.,I waited for you here yesterday.,Dito kita hinintay kahapon.
Didto,Doon,There,Location,DID-to,Locations,Didto siya.,He/She is there.,Nandoon siya.,Didto sila nagduwa.,They played there.,Doon sila naglaro.,Didto ko nagtambay kagahapon human sa klase.,I stayed there yesterday after class.,Doon ako tumambay kahapon pagkatapos ng klase.
Dinhi,Dito,Here,Location,DIN-hi,Locations,Dinhi siya nagpuyo.,He lives here.,Dito siya nakatira.,Dinhi nagtapok ang mga tawo.,People gathered here.,Dito nagtipon ang mga tao.,Dinhi ko giatiman ang bata kagahapon.,I took care of the child here yesterday.,Dito ko inalagaan ang bata kahapon.
Sa taas,Sa itaas,Upstairs / Above,Location,sa TA-as,Locations,Naa sa taas.,It is upstairs.,Nasa itaas.,Ang kuwarto naa sa taas.,The room is upstairs.,Nasa itaas ang kwarto.,Ang gamit nga akong gipangita naa sa taas gahapon.,The item I was looking for was upstairs yesterday.,Nasa itaas ang hinahanap ko kahapon.
Sa ubos,Sa ibaba,Downstairs / Below,Location,sa U-bos,Locations,Naa sa ubos.,It is downstairs.,Nasa ibaba.,Ang kusina naa sa ubos.,The kitchen is downstairs.,Nasa ibaba ang kusina.,Ang papel nga akong gibilin naa ra sa ubos kagahapon.,The paper I left was downstairs yesterday.,Nasa ibaba ang papel na iniwan ko kahapon.
Sa wala,Pa-kaliwa,Left side,Location,sa WA-la,Locations,Adto sa wala.,Go left.,Kaliwa ka.,Ang tindahan naa sa wala.,The store is on the left.,Nasa kaliwa ang tindahan.,Ang sakyanan nga akong gisakyan kahapon naa sa wala nga lane.,The vehicle I rode yesterday was in the left lane.,Nasa kaliwang lane ang sinakyan ko kahapon.
Sa tuo,Pa-kanan,Right side,Location,sa TU-o,Locations,Adto sa tuo.,Go right.,Kumanan ka.,Ang eskwelahan naa sa tuo.,The school is on the right.,Nasa kanan ang paaralan.,Ang building nga akong giadto gahapon naa sa tuo nga bahin.,The building I went to yesterday was on the right side.,Nasa kanang bahagi ang pinuntahan ko kahapon.
Sa atubangan,Sa harap,In front,Location,sa a-tu-BANG-an,Locations,Sa atubangan ko.,In front of me.,Sa harap ko.,Ang gate naa sa atubangan.,The gate is in front.,Nasa harap ang gate.,Ang opisina nga akong giadto naa sa atubangan sa parke.,The office I went to is in front of the park.,Ang opisina na pinuntahan ko ay nasa harap ng parke.
Sa luyo,Sa likod,Behind,Location,sa lu-YO,Locations,Sa luyo ko.,Behind me.,Sa likod ko.,Ang banyo naa sa luyo.,The bathroom is behind.,Nasa likod ang banyo.,Ang sakyanan nga akong gi-park naa sa luyo kagahapon.,The car I parked yesterday was behind the house.,Nasa likod ang kotse na in-park ko kahapon.
Sa sulod,Sa loob,Inside,Location,sa su-LOD,Locations,Naa sa sulod.,It is inside.,Nasa loob.,Ang bata naa sa sulod.,The child is inside.,Nasa loob ang bata.,Ang gamit nga akong gipangita naa sa sulod sa kahon.,The item I looked for was inside the box.,Nasa loob ng kahon ang hinahanap ko.
Sa gawas,Sa labas,Outside,Location,sa ga-WAS,Locations,Naa sa gawas.,It is outside.,Nasa labas.,Ang iro naa sa gawas.,The dog is outside.,Nasa labas ang aso.,Ang tanang tawo nagtapok sa gawas kagahapon.,Everyone gathered outside yesterday.,Nagtipon ang lahat sa labas kahapon.
Duol,Malapit,Near,Adjective,DU-ol,Descriptions,Duol ra ang tindahan.,The store is near.,Malapit ang tindahan.,Duol ko sa imong balay.,I am near your house.,Malapit ako sa bahay mo.,Duol ra ang among school sa opisina.,Our school is near the office.,Malapit lang ang school sa opisina.
Layo,Malayo,Far,Adjective,la-YO,Descriptions,Layo ang siyudad.,The city is far.,Malayo ang siyudad.,Layo ang iyang balay gikan dinhi.,His house is far from here.,Malayo ang bahay niya dito.,Layo kaayo ang lugar nga among giadto kagahapon.,The place we went to yesterday was very far.,Napakalayo ng lugar na pinuntahan namin kahapon.
Ako,Ako,I / Me,Pronoun,a-KO,Pronouns,Ako si Ana.,I am Ana.,Ako si Ana.,Ako ang nagluto.,I am the one who cooked.,Ako ang nagluto.,Ako ang nitabang niya gahapon.,I was the one who helped him yesterday.,Ako ang tumulong sa kanya kahapon.
Ikaw,Ikaw,You,Pronoun,i-KAW,Pronouns,Ikaw siya.,You are the one.,Ikaw iyon.,Ikaw ang nagdala.,You brought it.,Ikaw ang nagdala.,Ikaw ang gitawag sa teacher kagahapon.,You were the one the teacher called yesterday.,Ikaw ang tinawag ng teacher kahapon.
Siya,Siya,He / She,Pronoun,Si-ya,Pronouns,Siya akong amigo.,He is my friend.,Siya ang kaibigan ko.,Siya ang nipalit ana.,He bought that.,Siya ang bumili niyan.,Siya ang nangayo tabang gahapon.,He was the one who asked for help yesterday.,Siya ang humingi ng tulong kahapon.
Kami,Kami,We (excluding you),Pronoun,ka-MI,Pronouns,Kami ra diri.,Only we are here.,Kami lang dito.,Kami nagtan-aw og salida.,We watched a movie.,Kami nanood ng movie.,Kami ang niadto sa bukid kagahapon.,We were the ones who went to the mountain yesterday.,Kami ang pumunta sa bundok kahapon.
Kita,Tayo,We (including you),Pronoun,KI-ta,Pronouns,Kita magkita unya.,We will meet later.,Magkikita tayo mamaya.,Kita magkuyog sa mall.,We will go together to the mall.,Magkasama tayong pupunta sa mall.,Kita ang nag-istorya gahapon bahin sa project.,We were the ones talking yesterday about the project.,Tayo ang nag-usap kahapon tungkol sa project.
Kamo,Kayo,You all,Pronoun,ka-MO,Pronouns,Kamo tanan.,All of you.,Kayo lahat.,Kamo ang moadto unya.,You all will go later.,Kayo ang pupunta mamaya.,Kamo ang gi-invite sa event gahapon.,You all were invited to the event yesterday.,Kayo ang inimbitahan sa event kahapon.
Sila,Sila,They,Pronoun,si-LA,Pronouns,Sila akong higala.,They are my friends.,Sila ang mga kaibigan ko.,Sila ang nagdula sa gawas.,They are playing outside.,Sila ang naglalaro sa labas.,Sila ang mipalit sa prutas gahapon.,They were the ones who bought the fruits yesterday.,Sila ang bumili ng prutas kahapon.
Imo,Iyo,Yours,Pronoun,EE-moh,Possessive,Imo kini.,This is yours.,Ito ay sa'yo.,Ang libro imo ba?,Is the book yours?,"Ano, sayo ba ang libro?",Ang bag-ong telepono imo ba nga gipalit gahapon?,Is the new phone you bought yesterday yours?,Tingin ko ba ang bagong telepono na binili mo kahapon ay sayo?
Iya,Kanya,His/Hers,Pronoun,ee-YAH,Possessive,Iya kini.,This is his/hers.,Ito ay sa kanya.,Iya ang iyang kwarto.,It is his/her room.,Ito ang kwarto niya.,Ang motor nga gi-park sa kilid iya diay.,The motorcycle parked on the side is actually his/hers.,Ang motor na naka-park sa gilid ay kanya pala.
Amo,Amin,Ours,Pronoun,AH-moh,Possessive,Amo ni.,This is ours.,Ito ay atin.,Amo ang balay.,This is our house.,Ito ang bahay namin.,Ang proyekto nga among gihimo amo gyud ang nakatabang sa community.,The project we made truly helped the community.,Ang proyekto na ginawa namin talaga ay nakatulong sa komunidad.
Inyo,Inyo,Yours (plural),Pronoun,ee-NYOH,Possessive,Inyo kini.,This is yours (pl.).,Ito ay sa inyo.,Ang libro inyo ba?,Is the book yours (pl.)?,"Ano, sayo ba ang libro ninyo?",Ang lapis nga inyong giutang inyo na ba?,Is the pencil you borrowed now yours?,Nasa inyo ba ang lapis na inutang ninyo?
Ila,Kanila,Theirs,Pronoun,EE-lah,Possessive,Ila kini.,This is theirs.,Ito ay sa kanila.,Ila ang balay.,It is their house.,Ito ang bahay nila.,Ang tanom sa uma ila gyud.,The plants in the field are truly theirs.,Ang mga tanim sa bukid ay talagang kanila.
Lunes,Lunes,Monday,Noun,LOO-nes,Day names,Lunes karon.,It's Monday today.,Lunes ngayon.,Ang klase magsugod Lunes.,Classes start Monday.,Magsisimula ang klase Lunes.,Ang meeting gihimo Lunes sa buntag.,The meeting was held Monday morning.,Ginawa ang meeting Lunes ng umaga.
Martes,Martes,Tuesday,Noun,mar-TES,Day names,Martes na.,It's Tuesday.,Martes na.,Ang deadline kay Martes.,Deadline is Tuesday.,Deadline ay Martes.,Ang klase gani mibalik Martes kay na-reschedule.,The class resumed Tuesday because it was rescheduled.,Nagsimula uli ang klase Martes dahil na-reschedule.
Miyerkoles,Miyerkules,Wednesday,Noun,myer-KOH-les,Day names,Miyerkoles karon.,It is Wednesday.,Miyerkules ngayon.,Adto ko Miyerkoles.,I'll go on Wednesday.,Pupunta ako Miyerkules.,Miyerkoles ang workshop niadtong semanaha.,The workshop was on Wednesday that week.,Ang workshop ay naganap Miyerkules nung linggong iyon.
Huwebes,Huwebes,Thursday,Noun,hoo-WEH-bes,Day names,Huwebes ang eksam.,The exam is Thursday.,Huwebes ang exam.,Nag-praktis siya Huwebes.,He practiced on Thursday.,Nag-practice siya Huwebes.,Ang presentasyon gi-set sa Huwebes sa hapon.,The presentation was set for Thursday afternoon.,Ang presentasyon ay itinakda Huwebes ng hapon.
Biyernes,Biyernes,Friday,Noun,byer-NES,Day names,Biyernes na.,It’s Friday.,Biyernes na.,Mag-party ta Biyernes.,Let's party Friday.,Tumigil tayo sa trabaho Biyernes.,Ang salida gi-release Biyernes gabii.,The movie was released Friday night.,Inilabas ang pelikula Biyernes ng gabi.
